39.501 143.839 13.340 MCMC
1.019 4.424 1.371 0.451
ST09 CA00 6.021 1.000
ST06 CA00 0.801 8.426
ST08 CA00 11.152 3.676
ST05 ST12 -7.981 11.395
ST02 ST04 -4.264 18.468
ST02 ST05 -7.678 3.338
ST01 ST07 -11.084 5.484
ST01 ST04 -6.348 3.946
ST09 ST10 -4.866 2.684
ST09 ST12 -4.784 1.289
ST07 ST12 -6.304 55.593
ST01 ST12 -17.947 1.382
ST07 ST08 -5.285 1.506
ST05 ST08 -5.637 1.369
ST10 ST11 -6.936 5.011
ST08 ST09 3.863 219.520
ST01 ST03 0.244 3.653
ST06 ST07 -5.338 709.640
ST05 CA00 3.443 0.935
ST03 ST05 -10.156 2.069
ST01 ST06 -5.583 48.187
ST02 ST09 -9.461 2.344
ST02 ST08 -13.826 12.507
ST04 CA00 1.810 2.794
ST06 ST10 -10.683 11.397
ST10 CA00 10.870 1.551
ST01 ST02 -2.324 1.826
