39.889 142.605 13.175 MCMC
0.489 0.396 0.708 0.521
ST05 ST09 -3.909 1.172
ST08 ST12 1.013 2.434
ST05 ST08 1.201 2.288
ST02 ST10 13.857 2.025
ST03 ST09 -3.194 1.059
ST01 ST04 -1.451 7.245
ST02 ST08 -1.744 1.356
ST03 ST08 1.235 0.973
ST07 ST08 -14.230 1.734
ST01 ST07 0.048 3.866
ST03 ST11 7.068 1.440
ST06 ST08 8.999 33.114
ST03 ST05 1.107 2.073
ST08 ST09 -6.816 2.407
ST08 ST11 3.985 7.948
ST07 ST09 -20.438 2.603
ST04 ST07 1.139 4.178
ST08 ST10 16.068 4.478
ST06 ST12 9.492 7.174
ST06 ST07 22.050 1.581
ST04 ST06 -21.001 3.299
ST01 CA00 -15.256 2.175
ST12 CA00 -1.873 2.954
ST11 CA00 -4.450 1.686
