39.597 143.740 12.196 MCMC
1.145 5.656 1.398 0.448
ST05 ST07 0.251 3.387
ST01 ST12 -19.620 3.178
ST05 ST08 -6.903 3.624
ST02 CA00 -2.972 92.148
ST06 ST11 -16.170 1.301
ST05 ST06 2.519 6.948
ST09 ST10 -0.248 1.582
ST08 ST12 -2.516 1.541
ST02 ST06 -5.279 1.684
ST07 ST11 -13.653 1.728
ST01 ST02 -3.143 2.869
ST05 CA00 3.912 2.106
ST08 ST09 2.790 8.093
ST03 ST12 -19.202 1.811
ST01 ST11 -23.766 1.533
ST01 ST03 -0.902 2.613
ST03 ST08 -15.637 6.571
ST09 CA00 8.853 1.329
ST01 ST04 -5.996 5.555
ST05 ST11 -14.497 4.523
ST06 ST09 -6.616 4.174
