39.704 142.504 16.107 MCMC
0.771 0.841 0.482 0.603
ST01 ST03 -8.301 0.782
ST05 ST06 3.609 4.971
ST09 ST10 13.047 1.559
ST07 ST12 -4.387 1.489
ST01 ST07 1.457 2.051
ST06 ST12 8.400 3.825
ST05 ST12 12.510 1.038
ST04 ST11 -4.119 10.226
ST02 CA00 -3.331 5.167
ST08 ST10 15.284 9.918
ST04 ST10 4.384 0.949
ST08 ST09 0.597 0.910
ST07 ST10 4.619 0.683
ST10 CA00 -18.631 1.804
ST05 ST11 10.146 6.500
ST01 ST06 -11.419 1.237
ST11 CA00 -9.629 10.261
ST01 ST02 -10.851 1.457
ST03 ST04 8.063 4.932
ST11 ST12 0.799 2.235
ST03 ST06 -2.076 1.750
ST01 ST09 -9.617 19.361
ST08 CA00 -4.049 4.022
ST05 ST10 20.202 2.255
ST09 ST11 4.180 20.077
ST02 ST05 -3.872 4.426
ST06 ST10 16.305 21.847
ST04 CA00 -13.654 10.677
ST04 ST09 -7.338 1.095
ST03 ST09 -0.533 1.826
