39.793 142.504 13.634 MCMC
0.266 0.866 0.371 0.380
ST01 ST11 -6.872 3.522
ST06 ST11 10.457 2.291
ST04 CA00 -14.157 3.992
ST02 ST05 -3.365 4.172
ST06 CA00 1.699 4.388
ST05 ST07 16.442 9.474
ST07 CA00 -16.557 10.845
ST01 ST08 -11.519 2.551
ST01 ST09 -13.939 2.569
ST03 ST04 12.695 12.917
ST06 ST09 3.944 81.673
ST02 ST10 15.949 7.927
ST04 ST11 -4.748 1.443
ST07 ST08 -12.792 34.281
ST10 ST11 -10.629 3.987
ST05 ST12 7.169 1.000
ST04 ST05 -14.419 14.039
ST01 CA00 -14.751 1.244
ST07 ST12 -8.354 40.450
ST07 ST10 3.061 5.524
ST02 ST07 12.851 10.886
