39.599 142.704 15.583 MCMC
0.648 0.249 0.696 0.511
ST04 CA00 -8.772 3.287
ST06 ST07 5.844 3.167
ST05 ST11 6.786 1.958
ST01 ST09 -8.378 16.069
ST07 ST09 -6.261 6.399
ST02 ST03 4.862 2.958
ST07 CA00 -9.691 2.259
ST02 CA00 -3.587 5.397
ST08 ST09 7.648 3.281
ST04 ST12 -1.328 1.907
ST05 ST12 11.258 3.417
ST05 ST06 8.010 16.714
ST05 ST10 16.953 1.786
ST03 ST05 -12.253 44.497
ST07 ST12 -2.664 32.006
ST03 ST08 -12.402 3.615
ST12 CA00 -5.403 0.825
ST11 CA00 -3.044 0.894
ST10 ST12 -4.631 1.255
ST03 ST07 2.100 1.286
ST06 ST10 7.745 1.729
ST08 ST10 16.685 2.262
