39.588 143.760 15.263 MCMC
1.278 4.319 1.989 0.519
ST05 ST10 -4.355 2.628
ST07 ST09 -2.815 2.192
ST01 ST04 -6.039 5.374
ST01 ST07 -10.847 1.777
ST03 CA00 -4.091 2.318
ST10 ST11 -9.402 33.964
ST11 CA00 17.378 0.884
ST05 CA00 4.372 34.946
ST01 ST10 -15.358 1.709
ST09 ST12 -6.747 1.355
ST05 ST08 -6.250 5.403
ST02 ST12 -16.947 14.977
ST06 ST09 -5.569 1.469
ST06 ST11 -17.316 2.101
ST07 CA00 4.577 14.213
ST04 ST09 -7.391 3.211
ST02 ST04 -2.023 0.873
ST06 ST07 -2.710 3.721
ST04 ST07 -4.339 10.831
ST12 CA00 14.477 1.820
ST03 ST06 -5.551 1.563
ST04 ST05 -4.012 5.794
