39.803 142.388 17.644 MCMC
0.769 0.852 0.687 0.626
ST02 ST12 7.455 2.021
ST04 ST12 -4.228 5.309
ST02 ST10 18.232 4.442
ST03 ST04 15.791 0.750
ST01 ST09 -10.565 3.551
ST05 ST07 15.829 2.821
ST04 ST07 2.873 5.840
ST02 ST03 -1.246 0.818
ST06 ST07 18.278 4.053
ST06 ST08 6.790 6.053
ST01 ST07 2.822 1.760
ST06 CA00 1.032 1.384
ST07 ST12 -6.836 10.572
ST10 CA00 -21.558 1.921
ST03 ST05 -0.070 0.956
ST02 ST08 2.205 0.926
ST01 ST02 -12.458 48.471
ST08 ST11 6.372 1.245
ST11 ST12 -1.017 8.812
ST02 ST07 14.813 8.210
ST01 ST04 -0.798 2.857
ST05 CA00 -1.581 23.445
ST10 ST11 -10.482 0.753
ST05 ST10 20.076 1.734
ST02 ST05 -1.502 103.580
ST01 ST05 -14.440 1.960
ST09 CA00 -4.604 57.224
ST05 ST12 8.946 2.016
ST04 CA00 -15.493 2.115
ST05 ST09 3.985 1.109
