39.600 142.501 14.889 MCMC
0.374 0.558 1.173 0.441
ST02 ST12 11.106 2.987
ST05 CA00 2.359 1.440
ST10 CA00 -19.139 24.954
ST01 ST07 1.815 1.603
ST03 ST10 9.909 2.579
ST02 ST05 -4.867 2.797
ST01 ST11 -2.566 1.452
ST03 ST11 1.762 1.553
ST07 ST09 -5.152 2.104
ST07 CA00 -15.098 22.777
ST04 ST12 1.750 10.607
ST09 ST10 9.995 2.434
ST08 ST10 13.902 0.976
ST03 ST08 -5.535 7.679
ST07 ST12 -1.167 2.805
ST02 ST10 15.061 2.093
ST08 CA00 -4.556 2.610
ST06 ST09 2.454 2.460
ST04 ST11 -2.395 1.656
ST07 ST10 4.262 3.279
ST02 ST08 0.315 3.360
ST02 CA00 -3.921 2.772
ST05 ST09 11.754 1.739
ST03 ST06 -1.999 8.975
ST03 ST12 5.034 3.569
ST01 ST05 -15.327 3.470
ST01 ST03 -4.615 4.135
ST05 ST07 16.492 3.182
