39.705 142.589 17.793 MCMC
0.934 1.486 0.876 0.403
ST07 ST08 -13.385 1.926
ST01 ST05 -15.975 4.917
ST07 CA00 -14.383 1.650
ST03 ST09 -2.574 6.317
ST02 CA00 -4.455 1.093
ST01 ST11 -8.336 1.122
ST04 ST11 -5.891 4.077
ST05 ST11 7.863 2.157
ST07 ST09 -11.649 1.498
ST10 ST12 -9.454 1.281
ST05 ST07 15.768 5.778
ST02 ST03 2.059 2.574
ST01 ST07 -0.292 8.673
ST06 ST12 6.761 3.032
ST08 ST11 5.608 94.631
ST02 ST05 -5.529 5.864
ST03 CA00 -5.615 2.475
ST10 CA00 -17.155 1.583
ST06 ST08 -0.412 10.460
ST09 ST11 3.415 3.351
ST05 ST12 9.666 496.562
ST02 ST06 -1.514 1.646
ST06 ST07 11.840 1.930
