39.600 142.610 14.943 MCMC
0.655 0.447 0.330 0.462
ST06 ST07 6.926 3.418
ST04 ST10 5.384 3.585
ST02 ST04 6.515 4.279
ST07 ST08 -11.293 1.022
ST02 ST05 -6.953 6.253
ST05 ST06 8.617 3.549
ST01 ST10 3.204 2.046
ST11 CA00 -6.015 35.214
ST01 ST05 -15.481 1.298
ST04 ST12 -0.639 1.781
ST01 ST06 -7.610 3.888
ST03 ST11 -2.267 3.109
ST10 ST12 -5.190 136.211
ST06 ST08 -6.016 2.644
ST01 ST02 -9.783 1.552
ST06 ST11 1.111 2.775
ST02 ST06 1.449 2.969
ST08 ST10 15.871 6.050
ST01 ST07 0.142 1.161
ST03 ST06 -4.216 1.141
ST03 ST04 1.536 11.419
ST05 ST12 13.954 5.884
ST03 ST10 6.826 10.271
