39.696 142.476 14.357 GRD
0.000 0.000 0.000 0.512
ST01 ST03 -11.022 6.122
ST05 ST06 3.946 3.593
ST09 ST10 16.662 10.683
ST07 ST12 -5.561 2.583
ST01 ST07 1.478 2.626
ST06 ST12 9.963 2.441
ST05 ST12 14.010 1.704
ST04 ST11 -4.711 1.435
ST02 CA00 -3.767 70.698
ST08 ST10 18.713 13.116
ST04 ST10 6.735 1.532
ST08 ST09 1.723 2.896
ST07 ST10 4.604 9.366
ST10 CA00 -23.113 1.003
ST05 ST11 12.155 1.407
ST01 ST06 -14.065 2.651
ST11 CA00 -11.567 0.876
ST01 ST02 -13.590 2.612
ST03 ST04 9.983 5.867
ST11 ST12 1.541 5.262
ST03 ST06 -2.834 3.016
ST01 ST09 -11.109 1.115
ST08 CA00 -4.540 1.071
ST05 ST10 23.912 2.809
ST09 ST11 5.143 42.936
ST02 ST05 -4.360 2.376
ST06 ST10 19.908 7.368
ST04 CA00 -16.259 2.159
ST04 ST09 -9.662 2.077
ST03 ST09 0.069 1.106
