39.792 142.502 9.321 GRD
0.000 0.000 0.000 0.267
ST01 ST11 -7.839 7.893
ST06 ST11 12.712 7.694
ST04 CA00 -17.228 3.378
ST02 ST05 -3.717 4.762
ST06 CA00 2.166 4.629
ST05 ST07 19.702 2.889
ST07 CA00 -19.728 4.305
ST01 ST08 -14.047 6.320
ST01 ST09 -16.528 5.828
ST03 ST04 15.787 6.986
ST06 ST09 4.133 15.412
ST02 ST10 19.886 5.801
ST04 ST11 -6.551 12.344
ST07 ST08 -15.459 9.783
ST10 ST11 -13.074 14.608
ST05 ST12 9.227 1.275
ST04 ST05 -17.278 2.995
ST01 CA00 -18.210 2.536
ST07 ST12 -10.292 3.923
ST07 ST10 3.938 1303.493
ST02 ST07 15.940 5.520
