39.901 142.597 14.540 GRD
0.000 0.000 0.000 0.145
ST05 ST09 -5.096 7.433
ST08 ST12 0.556 7.211
ST05 ST08 2.009 6.833
ST02 ST10 17.323 84.227
ST03 ST09 -3.815 21.063
ST01 ST04 -1.660 181.783
ST02 ST08 -2.363 33.227
ST03 ST08 3.153 2.149
ST07 ST08 -16.906 7.283
ST01 ST07 -0.144 135.718
ST03 ST11 8.389 7.403
ST06 ST08 10.090 5.725
ST03 ST05 1.358 9.523
ST08 ST09 -7.446 16.634
ST08 ST11 4.867 25.831
ST07 ST09 -24.230 13.259
ST04 ST07 1.444 13.538
ST08 ST10 19.779 19.596
ST06 ST12 10.542 7.144
ST06 ST07 26.761 3.672
ST04 ST06 -25.334 5.510
ST01 CA00 -18.378 16.501
ST12 CA00 -1.842 79.265
ST11 CA00 -6.073 4.085
