39.717 142.594 20.534 GRD
0.000 0.000 0.000 0.555
ST07 ST08 -15.541 3.272
ST01 ST05 -18.861 1.747
ST07 CA00 -16.284 6.191
ST03 ST09 -3.094 4.118
ST02 CA00 -4.110 3.063
ST01 ST11 -9.378 9.107
ST04 ST11 -7.146 16.691
ST05 ST11 9.528 1.970
ST07 ST09 -13.293 2.099
ST10 ST12 -10.798 1.930
ST05 ST07 18.463 2.062
ST02 ST03 2.215 1.259
ST01 ST07 -0.415 9.587
ST06 ST12 7.652 10.900
ST08 ST11 6.631 2.832
ST02 ST05 -6.227 1.701
ST03 CA00 -6.146 1.062
ST10 CA00 -19.925 5.062
ST06 ST08 -0.826 1.160
ST09 ST11 4.292 1.923
ST05 ST12 11.422 0.866
ST02 ST06 -2.236 1.436
ST06 ST07 14.489 1.278
