39.609 143.758 14.111 GRD
0.000 0.000 0.000 1.005
ST05 ST10 -6.707 1.719
ST07 ST09 -4.770 1.583
ST01 ST04 -0.762 28.725
ST01 ST07 -299.350 1.041
ST03 CA00 -0.978 17.284
ST10 ST11 -10.806 1.731
ST11 CA00 315.596 0.606
ST05 CA00 298.233 0.665
ST01 ST10 -305.640 1.368
ST09 ST12 -7.352 4.904
ST05 ST08 -8.371 561.859
ST02 ST12 -311.856 0.650
ST06 ST09 -8.606 7.646
ST06 ST11 -21.061 3.552
ST07 CA00 298.723 0.927
ST04 ST09 -303.312 0.598
ST02 ST04 -1.035 4.444
ST06 ST07 -3.827 2.032
ST04 ST07 -298.494 0.918
ST12 CA00 310.913 0.695
ST03 ST06 -295.793 0.585
ST04 ST05 -297.980 0.650
