39.788 142.603 11.557 GRD
0.000 0.000 0.000 0.305
ST02 ST12 1.462 2.632
ST04 ST12 -10.366 2.499
ST01 ST09 -19.053 9.946
ST09 ST11 8.347 3.661
ST04 ST05 -17.302 13.442
ST06 ST09 2.030 8.238
ST01 ST08 -16.584 5.827
ST02 ST03 -1.939 2.444
ST03 ST07 15.450 1.851
ST07 ST09 -18.981 2.594
ST09 CA00 1.493 3.911
ST07 CA00 -17.569 4.743
ST02 ST07 13.502 8.186
ST07 ST10 3.416 8.231
ST11 CA00 -6.508 3.044
ST06 CA00 3.593 2.237
ST04 ST09 -17.369 2.895
ST01 ST05 -18.932 2.679
ST03 ST10 18.611 2.459
ST01 ST11 -10.877 612.410
ST01 ST10 2.898 25.313
ST01 ST06 -21.145 3.522
ST07 ST11 -10.588 15.067
ST02 ST11 3.021 6.143
ST04 ST06 -19.302 2.704
ST09 ST12 6.841 4.616
ST02 ST08 -2.889 7.706
ST08 ST09 -2.715 1.930
ST02 ST04 11.898 11.101
ST05 ST12 6.868 1.843
