39.577 143.707 12.077 GRD
0.000 0.000 0.000 0.699
ST05 ST07 0.148 1.926
ST01 ST12 -313.251 1.353
ST05 ST08 -8.423 346.344
ST02 CA00 -1.043 639.686
ST06 ST11 -20.837 1.280
ST05 ST06 3.512 2.250
ST09 ST10 -0.591 0.825
ST08 ST12 -3.445 1.929
ST02 ST06 -298.504 1.396
ST07 ST11 -17.423 7.552
ST01 ST02 0.485 20.905
ST05 CA00 300.791 0.744
ST08 ST09 3.288 1.821
ST03 ST12 -313.972 1.833
ST01 ST11 -318.691 0.619
ST01 ST03 0.624 10.336
ST03 ST08 -310.318 0.786
ST09 CA00 306.092 1.597
ST01 ST04 -0.773 21.828
ST05 ST11 -17.494 5.959
ST06 ST09 -8.645 9.475
