39.591 142.575 16.856 GRD
0.000 0.000 0.000 0.497
ST06 ST07 8.109 2.669
ST04 ST10 6.028 2.064
ST02 ST04 8.427 3.324
ST07 ST08 -13.922 2.148
ST02 ST05 -7.369 1.781
ST05 ST06 9.618 2.901
ST01 ST10 3.571 1.492
ST11 CA00 -7.408 0.877
ST01 ST05 -18.219 2.426
ST04 ST12 0.001 0.846
ST01 ST06 -8.750 1.104
ST03 ST11 -2.372 1.375
ST10 ST12 -5.860 1.886
ST06 ST08 -6.143 2.376
ST01 ST02 -11.101 9.839
ST06 ST11 1.455 3.326
ST02 ST06 2.206 1.054
ST08 ST10 18.272 2.153
ST01 ST07 -0.475 2.738
ST03 ST06 -3.994 1.684
ST03 ST04 2.363 5.250
ST05 ST12 16.022 1.437
ST03 ST10 8.372 3.194
