39.622 142.478 13.747 GRD
0.000 0.000 0.000 0.952
ST02 ST12 13.103 3.638
ST05 CA00 1.786 1.096
ST10 CA00 -22.221 0.757
ST01 ST07 1.615 3.102
ST03 ST10 11.650 0.546
ST02 ST05 -5.242 1.621
ST01 ST11 -3.459 10.885
ST03 ST11 1.781 0.653
ST07 ST09 -6.644 0.778
ST07 CA00 -17.371 0.765
ST04 ST12 2.255 1.440
ST09 ST10 11.655 0.879
ST08 ST10 17.436 2.292
ST03 ST08 -6.094 0.587
ST07 ST12 -0.748 1.249
ST02 ST10 18.451 0.746
ST08 CA00 -4.649 0.980
ST06 ST09 2.528 2.673
ST04 ST11 -2.257 16.111
ST07 ST10 4.894 33.503
ST02 ST08 0.846 0.932
ST02 CA00 -3.738 76.134
ST05 ST09 12.402 1.284
ST03 ST06 -2.425 4.719
ST03 ST12 6.118 1.052
ST01 ST05 -17.479 7.392
ST01 ST03 -5.297 0.723
ST05 ST07 18.963 1.699
