39.811 142.390 20.044 GRD
0.000 0.000 0.000 0.336
ST02 ST12 9.447 3.133
ST04 ST12 -5.551 3.720
ST02 ST10 22.823 6.390
ST03 ST04 17.981 31.861
ST01 ST09 -13.535 5.516
ST05 ST07 20.032 4.495
ST04 ST07 3.279 84.244
ST02 ST03 -2.411 1.530
ST06 ST07 22.212 32.636
ST06 ST08 7.740 9.039
ST01 ST07 3.120 19.301
ST06 CA00 0.637 5.425
ST07 ST12 -8.777 3.226
ST10 CA00 -26.248 2.667
ST03 ST05 0.648 1.217
ST02 ST08 3.633 5.268
ST01 ST02 -15.302 6.436
ST08 ST11 6.921 3.406
ST11 ST12 -1.086 4.231
ST02 ST07 18.329 8.758
ST01 ST04 -0.309 9.086
ST05 CA00 -1.576 27.931
ST10 ST11 -12.435 4.572
ST05 ST10 24.692 2.321
ST02 ST05 -1.800 4.871
ST01 ST05 -17.198 2.190
ST09 CA00 -5.070 2.308
ST05 ST12 11.245 1.914
ST04 CA00 -18.520 2.734
ST05 ST09 3.686 1.513
