39.472 143.907 9.651 GRD
0.000 0.000 0.000 0.607
ST09 CA00 301.643 3.992
ST06 CA00 -0.777 179.750
ST08 CA00 306.890 2.214
ST05 ST12 -10.133 4.887
ST02 ST04 -1.262 505.697
ST02 ST05 -299.488 2.058
ST01 ST07 -301.365 2.038
ST01 ST04 -0.783 17.917
ST09 ST10 -5.895 0.693
ST09 ST12 -6.539 2.726
ST07 ST12 -7.705 1.327
ST01 ST12 -309.182 2.666
ST07 ST08 -6.140 0.954
ST05 ST08 -8.303 5.725
ST10 ST11 -8.433 0.774
ST08 ST09 4.993 18.905
ST01 ST03 0.468 16.876
ST06 ST07 -301.581 1.860
ST05 CA00 298.172 4.734
ST03 ST05 -299.506 1.963
ST01 ST06 0.249 72.279
ST02 ST09 -302.799 2.739
ST02 ST08 -307.893 2.420
ST04 CA00 0.303 11.846
ST06 ST10 -308.434 0.936
ST10 CA00 307.534 0.835
ST01 ST02 0.432 9.917
