39.711 143.342 22.918 SYN
0.000 0.000 0.000 0.402
ML08 ML29 -7.636 1.000
ML28 ML29 -1.977 1.000
ML06 ML21 4.169 1.000
ML07 ML18 -3.658 1.000
ML08 ML17 -1.805 1.000
ML18 ML39 7.310 1.000
ML21 ML39 0.233 1.000
ML09 ML17 -6.692 1.000
ML20 ML39 4.573 1.000
ML29 ML39 8.846 1.000
ML07 ML29 -5.390 1.000
ML09 ML21 -3.879 1.000
ML09 ML37 -9.218 1.000
ML08 ML38 -3.560 1.000
ML19 ML29 -1.225 1.000
ML37 ML39 5.433 1.000
ML06 ML28 -2.296 1.000
ML09 ML20 -8.220 1.000
ML21 ML29 -8.593 1.000
ML37 ML38 0.909 1.000
ML09 ML38 -8.353 1.000
ML18 ML31 4.535 1.000
ML09 ML18 -10.682 1.000
ML09 ML29 -12.661 1.000
ML19 ML28 0.850 1.000
ML18 ML28 0.280 1.000
ML31 ML38 -1.850 1.000
ML17 ML31 0.521 1.000
ML19 ML20 3.064 1.000
ML19 ML39 7.719 1.000
ML30 ML38 3.417 1.000
ML20 ML31 2.026 1.000
ML20 ML21 4.452 1.000
ML08 ML30 -6.847 1.000
ML07 ML31 1.093 1.000
ML18 ML38 2.577 1.000
ML09 ML31 -6.317 1.000
ML29 ML31 6.376 1.000
ML07 ML19 -4.237 1.000
ML08 ML09 4.962 1.000
ML17 ML28 -3.845 1.000
ML07 ML37 -2.132 1.000
ML18 ML37 1.691 1.000
ML20 ML30 -3.217 1.000
ML06 ML37 -1.249 1.000
ML19 ML30 -0.290 1.000
ML08 ML19 -6.464 1.000
ML21 ML37 -5.524 1.000
