39.758 143.297 24.428 SYN
0.000 0.000 0.000 0.749
ML18 ML19 -1.541 1.000
ML20 ML31 1.230 1.000
ML21 ML28 -4.200 1.000
ML19 ML21 5.841 1.000
ML21 ML38 -4.447 1.000
ML09 ML38 -8.611 1.000
ML06 ML28 -1.877 1.000
ML09 ML29 -11.079 1.000
ML18 ML21 4.516 1.000
ML09 ML17 -4.333 1.000
ML20 ML30 -3.773 1.000
ML17 ML29 -7.046 1.000
ML07 ML08 1.932 1.000
ML18 ML29 -2.574 1.000
ML38 ML39 4.114 1.000
ML07 ML17 2.018 1.000
ML19 ML38 1.654 1.000
ML08 ML09 4.559 1.000
ML09 ML19 -9.965 1.000
ML06 ML17 2.193 1.000
ML30 ML38 3.174 1.000
ML07 ML20 -2.019 1.000
ML07 ML39 1.880 1.000
ML06 ML08 1.973 1.000
ML19 ML30 -1.532 1.000
ML29 ML37 3.050 1.000
ML21 ML31 -2.582 1.000
ML19 ML28 1.876 1.000
ML18 ML30 -3.323 1.000
ML07 ML28 -2.204 1.000
ML06 ML19 -3.875 1.000
ML19 ML20 1.971 1.000
ML20 ML28 -0.066 1.000
ML17 ML30 -7.764 1.000
ML19 ML29 -0.813 1.000
ML29 ML38 2.647 1.000
ML08 ML31 -2.379 1.000
ML09 ML21 -4.247 1.000
