39.855 143.189 12.305 SYN
0.000 0.000 0.000 1.424
ML19 ML38 -1.257 1.000
ML17 ML39 -5.419 1.000
ML09 ML31 -7.839 1.000
ML37 ML39 0.764 1.000
ML06 ML29 -5.176 1.000
ML29 ML38 -0.379 1.000
ML07 ML28 -0.729 1.000
ML21 ML28 -0.917 1.000
ML08 ML18 -1.582 1.000
ML19 ML31 -0.108 1.000
ML06 ML31 -4.197 1.000
ML07 ML31 -3.595 1.000
ML06 ML20 -4.197 1.000
ML18 ML38 -3.637 1.000
ML09 ML38 -9.319 1.000
ML07 ML37 -2.171 1.000
ML06 ML07 -0.865 1.000
ML30 ML31 3.782 1.000
ML09 ML29 -8.881 1.000
ML07 ML20 -3.290 1.000
ML17 ML29 -7.869 1.000
ML09 ML28 -5.447 1.000
ML08 ML28 -1.570 1.000
ML17 ML19 -7.083 1.000
ML29 ML37 1.913 1.000
ML20 ML39 1.380 1.000
ML09 ML39 -6.142 1.000
ML30 ML37 4.856 1.000
ML18 ML21 0.792 1.000
ML38 ML39 2.924 1.000
ML19 ML39 1.688 1.000
ML09 ML18 -5.316 1.000
ML28 ML31 -2.578 1.000
ML29 ML39 2.448 1.000
