39.841 143.362 8.094 SYN
0.000 0.000 0.000 1.364
ML09 ML17 -0.189 1.000
ML06 ML37 -0.611 1.000
ML18 ML30 -5.839 1.000
ML09 ML39 -3.930 1.000
ML06 ML31 -3.240 1.000
ML17 ML28 -3.884 1.000
ML19 ML20 0.036 1.000
ML08 ML29 -3.500 1.000
ML38 ML39 2.540 1.000
ML07 ML08 0.972 1.000
ML09 ML19 -7.916 1.000
ML08 ML09 4.267 1.000
ML08 ML37 -0.438 1.000
ML20 ML30 -2.976 1.000
ML19 ML30 -2.840 1.000
ML17 ML18 -4.625 1.000
ML18 ML38 -1.487 1.000
ML07 ML20 -2.975 1.000
ML17 ML19 -7.969 1.000
ML21 ML31 -2.615 1.000
ML18 ML39 0.935 1.000
ML09 ML28 -4.159 1.000
ML18 ML28 0.936 1.000
ML28 ML39 0.013 1.000
ML08 ML39 0.171 1.000
ML17 ML31 -6.716 1.000
ML09 ML20 -7.779 1.000
ML18 ML21 0.757 1.000
ML17 ML37 -4.178 1.000
ML29 ML30 -3.034 1.000
ML08 ML17 3.877 1.000
ML06 ML30 -6.922 1.000
ML20 ML29 0.367 1.000
ML20 ML28 3.617 1.000
ML07 ML09 4.699 1.000
ML21 ML30 -6.318 1.000
ML06 ML07 -1.174 1.000
ML17 ML20 -7.699 1.000
ML09 ML37 -4.156 1.000
ML06 ML08 -0.467 1.000
ML07 ML30 -5.638 1.000
ML21 ML37 -0.020 1.000
ML19 ML38 1.385 1.000
ML08 ML20 -3.726 1.000
ML31 ML37 2.586 1.000
