39.895 143.300 20.000 REF
0.000 0.000 0.000 999.000
ML18 ML28 0.540 1.000
ML18 ML37 -0.538 1.000
ML17 ML18 -4.692 1.000
ML08 ML20 -3.721 1.000
ML17 ML38 -7.976 1.000
ML07 ML28 0.647 1.000
ML08 ML38 -3.541 1.000
ML30 ML37 6.153 1.000
ML09 ML20 -7.460 1.000
ML06 ML39 -2.386 1.000
ML38 ML39 2.127 1.000
ML19 ML38 -0.220 1.000
ML07 ML31 -3.440 1.000
ML08 ML18 -0.258 1.000
ML06 ML28 -0.690 1.000
ML17 ML39 -5.849 1.000
ML19 ML30 -3.628 1.000
ML37 ML39 -0.618 1.000
ML28 ML30 -7.231 1.000
ML06 ML31 -4.777 1.000
ML07 ML30 -6.584 1.000
ML18 ML29 -3.020 1.000
ML08 ML17 4.435 1.000
ML20 ML37 2.925 1.000
ML06 ML29 -4.250 1.000
ML06 ML21 -1.761 1.000
ML21 ML39 -0.626 1.000
ML20 ML38 0.180 1.000
ML20 ML30 -3.228 1.000
ML28 ML29 -3.560 1.000
ML31 ML39 2.391 1.000
ML09 ML17 0.696 1.000
ML09 ML37 -4.535 1.000
ML20 ML29 0.443 1.000
ML18 ML19 -3.063 1.000
ML20 ML31 -0.085 1.000
ML29 ML37 2.482 1.000
ML17 ML28 -4.153 1.000
ML29 ML38 -0.263 1.000
