39.790 143.390 19.759 SYN
0.000 0.000 0.000 0.575
ML09 ML31 -6.710 1.000
ML31 ML39 2.709 1.000
ML06 ML38 -1.290 1.000
ML18 ML38 0.765 1.000
ML07 ML17 2.417 1.000
ML08 ML18 -4.010 1.000
ML28 ML39 3.975 1.000
ML07 ML09 6.455 1.000
ML17 ML30 -7.424 1.000
ML21 ML39 0.190 1.000
ML28 ML37 0.286 1.000
ML18 ML19 -1.605 1.000
ML07 ML28 -1.429 1.000
ML28 ML30 -3.547 1.000
ML06 ML21 2.193 1.000
ML09 ML21 -4.022 1.000
ML30 ML31 4.833 1.000
ML19 ML30 -1.162 1.000
ML08 ML30 -6.778 1.000
ML08 ML19 -5.601 1.000
ML30 ML38 3.690 1.000
ML28 ML29 -2.702 1.000
ML09 ML28 -8.064 1.000
ML08 ML28 -3.324 1.000
ML18 ML30 -3.146 1.000
ML20 ML39 4.582 1.000
ML08 ML21 0.551 1.000
ML21 ML31 -2.415 1.000
ML07 ML29 -4.143 1.000
ML19 ML38 2.467 1.000
