39.751 143.221 20.588 SYN
0.000 0.000 0.000 0.793
ML06 ML29 -5.509 1.000
ML09 ML38 -9.705 1.000
ML06 ML37 -3.164 1.000
ML19 ML37 0.249 1.000
ML19 ML30 -1.488 1.000
ML07 ML17 -0.397 1.000
ML21 ML31 -2.821 1.000
ML18 ML30 -1.568 1.000
ML06 ML09 8.075 1.000
ML08 ML31 -2.157 1.000
ML28 ML38 1.606 1.000
ML37 ML39 6.054 1.000
ML19 ML21 7.035 1.000
ML17 ML21 2.723 1.000
ML21 ML38 -5.685 1.000
ML06 ML19 -3.334 1.000
ML29 ML30 1.030 1.000
ML17 ML29 -6.512 1.000
ML17 ML18 -3.955 1.000
ML28 ML31 4.448 1.000
ML20 ML28 -3.150 1.000
ML30 ML39 7.200 1.000
ML09 ML39 -4.875 1.000
ML30 ML37 1.263 1.000
ML20 ML37 -2.851 1.000
ML09 ML37 -10.875 1.000
ML20 ML31 1.424 1.000
ML07 ML39 1.991 1.000
ML17 ML39 1.987 1.000
ML20 ML29 -4.848 1.000
ML08 ML37 -6.237 1.000
ML19 ML38 1.223 1.000
ML38 ML39 4.896 1.000
ML06 ML07 0.832 1.000
ML19 ML31 4.330 1.000
ML31 ML37 -4.245 1.000
ML07 ML20 -1.686 1.000
ML21 ML29 -9.190 1.000
ML08 ML17 -2.291 1.000
ML08 ML38 -5.293 1.000
ML09 ML20 -8.053 1.000
ML08 ML21 0.581 1.000
ML07 ML18 -3.958 1.000
ML19 ML39 6.312 1.000
ML19 ML20 3.058 1.000
