39.829 143.183 20.000 REF
0.000 0.000 0.000 999.000
ML20 ML30 -4.726 1.000
ML19 ML31 0.405 1.000
ML31 ML38 -3.788 1.000
ML17 ML18 -3.911 1.000
ML19 ML21 4.046 1.000
ML17 ML39 -4.557 1.000
ML08 ML21 -0.801 1.000
ML28 ML31 -0.169 1.000
ML07 ML30 -7.697 1.000
ML09 ML17 -3.095 1.000
ML21 ML38 -7.428 1.000
ML20 ML28 -0.340 1.000
ML08 ML38 -8.229 1.000
ML30 ML38 0.428 1.000
ML09 ML37 -10.375 1.000
ML19 ML30 -3.811 1.000
ML08 ML30 -8.657 1.000
ML17 ML29 -7.731 1.000
ML19 ML37 -1.769 1.000
ML20 ML39 0.040 1.000
ML06 ML17 1.352 1.000
ML09 ML31 -8.201 1.000
ML09 ML39 -7.652 1.000
ML09 ML20 -7.691 1.000
ML08 ML19 -4.847 1.000
ML17 ML28 -4.937 1.000
ML06 ML31 -3.754 1.000
ML17 ML38 -8.894 1.000
ML06 ML21 -0.114 1.000
ML07 ML18 -2.285 1.000
ML09 ML21 -4.560 1.000
ML17 ML21 -1.466 1.000
ML18 ML29 -3.820 1.000
ML17 ML20 -4.597 1.000
ML06 ML20 -3.245 1.000
ML29 ML37 0.450 1.000
ML28 ML38 -3.957 1.000
ML18 ML21 2.445 1.000
ML06 ML08 0.687 1.000
ML06 ML29 -6.379 1.000
ML06 ML39 -3.205 1.000
ML08 ML18 -3.246 1.000
ML19 ML20 0.915 1.000
ML06 ML28 -3.585 1.000
ML17 ML19 -5.511 1.000
ML29 ML31 2.625 1.000
