39.880 143.245 20.217 SYN
0.000 0.000 0.000 0.922
ML19 ML37 0.670 1.000
ML06 ML28 -2.169 1.000
ML09 ML39 -6.060 1.000
ML06 ML17 2.268 1.000
ML06 ML39 -1.485 1.000
ML19 ML20 0.797 1.000
ML08 ML20 -3.826 1.000
ML18 ML39 0.390 1.000
ML20 ML28 1.391 1.000
ML19 ML31 1.085 1.000
ML29 ML37 2.087 1.000
ML21 ML31 -3.147 1.000
ML20 ML30 -4.299 1.000
ML07 ML38 -4.477 1.000
ML09 ML21 -4.428 1.000
ML08 ML19 -4.511 1.000
ML17 ML18 -4.144 1.000
ML18 ML20 -1.208 1.000
ML21 ML30 -7.463 1.000
ML06 ML20 -3.245 1.000
ML07 ML21 0.421 1.000
ML07 ML09 5.070 1.000
ML17 ML30 -9.781 1.000
ML30 ML39 5.764 1.000
ML19 ML38 -0.990 1.000
ML19 ML29 -1.397 1.000
ML08 ML18 -2.601 1.000
ML29 ML30 -2.251 1.000
ML09 ML29 -9.854 1.000
