39.747 143.229 14.191 SYN
0.000 0.000 0.000 0.692
ML07 ML18 -3.680 1.000
ML18 ML28 -1.079 1.000
ML07 ML19 -4.216 1.000
ML28 ML39 4.576 1.000
ML09 ML17 -5.785 1.000
ML37 ML38 0.500 1.000
ML08 ML29 -8.638 1.000
ML06 ML17 0.699 1.000
ML06 ML29 -6.340 1.000
ML09 ML39 -6.115 1.000
ML07 ML17 0.095 1.000
ML28 ML38 -0.346 1.000
ML06 ML18 -3.026 1.000
ML17 ML20 -2.391 1.000
ML07 ML21 1.715 1.000
ML18 ML20 1.298 1.000
ML08 ML09 4.336 1.000
ML06 ML20 -1.517 1.000
ML28 ML37 -1.053 1.000
ML20 ML30 -4.517 1.000
ML07 ML37 -5.498 1.000
ML18 ML19 -0.907 1.000
ML06 ML21 2.332 1.000
ML19 ML28 -0.388 1.000
ML31 ML38 -3.661 1.000
ML07 ML29 -6.901 1.000
ML29 ML37 1.344 1.000
ML17 ML37 -5.855 1.000
ML19 ML37 -1.444 1.000
ML28 ML31 3.103 1.000
ML30 ML31 4.980 1.000
