39.926 143.255 32.005 SYN
0.000 0.000 0.000 2.135
ML20 ML30 -4.345 1.000
ML07 ML18 -1.787 1.000
ML19 ML21 4.099 1.000
ML06 ML39 -2.426 1.000
ML18 ML39 0.059 1.000
ML08 ML19 -4.518 1.000
ML31 ML37 -0.626 1.000
ML19 ML39 1.620 1.000
ML08 ML21 -0.832 1.000
ML09 ML38 -10.533 1.000
ML07 ML29 -5.264 1.000
ML20 ML39 1.069 1.000
ML18 ML29 -3.762 1.000
ML06 ML28 -2.619 1.000
ML19 ML38 -1.901 1.000
ML20 ML31 -0.255 1.000
ML09 ML18 -6.343 1.000
ML20 ML21 3.331 1.000
ML29 ML39 3.262 1.000
ML17 ML28 -4.649 1.000
ML07 ML17 2.682 1.000
ML07 ML20 -2.906 1.000
ML06 ML20 -3.393 1.000
ML06 ML38 -6.118 1.000
ML08 ML17 1.402 1.000
ML28 ML38 -3.386 1.000
ML08 ML09 3.901 1.000
ML30 ML37 3.543 1.000
ML09 ML31 -7.915 1.000
ML30 ML39 5.479 1.000
ML06 ML18 -2.120 1.000
ML09 ML30 -12.344 1.000
ML06 ML29 -5.887 1.000
ML17 ML38 -8.183 1.000
ML20 ML28 0.751 1.000
ML21 ML30 -7.509 1.000
ML29 ML38 -0.513 1.000
ML29 ML31 2.113 1.000
ML20 ML37 -0.697 1.000
ML17 ML39 -4.344 1.000
ML20 ML29 -2.097 1.000
ML08 ML18 -2.563 1.000
ML09 ML28 -7.054 1.000
ML28 ML29 -3.093 1.000
ML17 ML19 -6.304 1.000
