39.724 143.372 20.000 REF
0.000 0.000 0.000 999.000
ML17 ML31 1.072 1.000
ML31 ML37 -2.663 1.000
ML30 ML37 2.750 1.000
ML19 ML20 3.270 1.000
ML17 ML19 -4.653 1.000
ML08 ML31 -0.882 1.000
ML07 ML30 -3.688 1.000
ML07 ML38 0.163 1.000
ML07 ML19 -4.000 1.000
ML09 ML30 -11.283 1.000
ML28 ML30 -0.876 1.000
ML09 ML19 -11.595 1.000
ML28 ML38 2.975 1.000
ML20 ML31 2.455 1.000
ML06 ML39 5.704 1.000
ML09 ML31 -5.870 1.000
ML07 ML18 -3.585 1.000
ML06 ML18 -2.462 1.000
ML28 ML31 4.537 1.000
ML37 ML39 5.520 1.000
ML08 ML30 -6.294 1.000
ML21 ML31 -2.078 1.000
ML06 ML17 1.775 1.000
ML06 ML38 1.285 1.000
ML21 ML39 0.780 1.000
ML19 ML37 3.062 1.000
ML06 ML19 -2.878 1.000
ML06 ML20 0.392 1.000
ML06 ML30 -2.566 1.000
ML06 ML08 3.729 1.000
