39.893 143.275 20.537 SYN
0.000 0.000 0.000 1.777
ML17 ML37 -4.370 1.000
ML19 ML39 4.962 1.000
ML19 ML38 1.351 1.000
ML07 ML38 -2.403 1.000
ML08 ML17 1.295 1.000
ML08 ML21 -0.056 1.000
ML06 ML39 0.923 1.000
ML06 ML19 -3.976 1.000
ML08 ML31 -2.656 1.000
ML38 ML39 3.770 1.000
ML18 ML21 3.217 1.000
ML07 ML37 -1.525 1.000
ML20 ML21 3.901 1.000
ML09 ML19 -9.395 1.000
ML06 ML18 -1.750 1.000
ML30 ML39 7.154 1.000
ML17 ML28 -4.486 1.000
ML06 ML07 -0.266 1.000
ML09 ML30 -11.707 1.000
ML37 ML39 2.748 1.000
ML20 ML37 0.984 1.000
ML21 ML29 -5.985 1.000
ML08 ML30 -7.382 1.000
ML07 ML09 5.886 1.000
ML29 ML37 3.096 1.000
ML07 ML17 2.972 1.000
ML06 ML09 5.588 1.000
ML18 ML39 3.122 1.000
ML31 ML39 2.586 1.000
ML28 ML29 -3.151 1.000
ML20 ML31 1.063 1.000
ML18 ML37 0.028 1.000
ML18 ML31 0.417 1.000
ML21 ML38 -3.878 1.000
ML18 ML19 -2.019 1.000
ML08 ML38 -3.972 1.000
ML07 ML28 -1.140 1.000
ML17 ML18 -4.439 1.000
ML07 ML21 1.562 1.000
ML07 ML30 -5.928 1.000
ML17 ML20 -5.194 1.000
ML29 ML30 -1.688 1.000
