39.728 143.465 26.510 SYN
0.000 0.000 0.000 1.309
ML28 ML30 -1.163 1.000
ML06 ML30 -2.902 1.000
ML09 ML19 -11.377 1.000
ML07 ML19 -4.020 1.000
ML20 ML30 -2.877 1.000
ML30 ML37 2.993 1.000
ML07 ML38 0.074 1.000
ML29 ML39 9.076 1.000
ML08 ML09 4.783 1.000
ML18 ML29 -1.318 1.000
ML17 ML31 0.601 1.000
ML21 ML37 -4.501 1.000
ML17 ML19 -4.905 1.000
ML20 ML21 4.478 1.000
ML19 ML29 -0.733 1.000
ML19 ML38 4.033 1.000
ML08 ML29 -7.167 1.000
ML19 ML30 0.141 1.000
ML31 ML39 2.941 1.000
ML07 ML37 -0.912 1.000
ML18 ML20 2.438 1.000
ML08 ML20 -3.347 1.000
ML17 ML38 -0.963 1.000
ML37 ML39 5.129 1.000
ML07 ML30 -3.867 1.000
