39.743 143.445 21.286 SYN
0.000 0.000 0.000 0.734
ML28 ML31 2.788 1.000
ML31 ML37 -1.466 1.000
ML09 ML19 -10.995 1.000
ML07 ML21 3.109 1.000
ML08 ML18 -4.782 1.000
ML30 ML38 4.079 1.000
ML30 ML39 8.189 1.000
ML37 ML38 0.228 1.000
ML18 ML29 -1.749 1.000
ML19 ML30 -0.491 1.000
ML20 ML38 1.051 1.000
ML20 ML37 0.801 1.000
ML08 ML19 -6.030 1.000
ML29 ML38 4.170 1.000
ML21 ML39 0.756 1.000
ML28 ML38 1.648 1.000
ML29 ML37 3.952 1.000
ML09 ML30 -11.193 1.000
ML21 ML37 -3.516 1.000
ML06 ML18 -1.927 1.000
ML06 ML29 -3.627 1.000
ML07 ML30 -4.224 1.000
ML09 ML17 -5.260 1.000
ML08 ML28 -3.676 1.000
ML07 ML29 -4.187 1.000
