39.740 143.296 19.688 SYN
0.000 0.000 0.000 1.239
ML20 ML29 -3.381 1.000
ML28 ML38 -0.867 1.000
ML06 ML29 -5.310 1.000
ML19 ML31 2.909 1.000
ML17 ML38 -5.183 1.000
ML28 ML39 3.738 1.000
ML18 ML37 -0.660 1.000
ML20 ML21 3.845 1.000
ML21 ML28 -4.338 1.000
ML09 ML31 -7.228 1.000
ML20 ML28 -0.471 1.000
ML21 ML39 -0.927 1.000
ML28 ML37 -0.260 1.000
ML29 ML39 6.482 1.000
ML07 ML29 -5.339 1.000
ML19 ML39 5.010 1.000
ML21 ML37 -4.782 1.000
ML18 ML31 1.492 1.000
ML09 ML19 -9.927 1.000
ML08 ML29 -7.341 1.000
ML20 ML38 -1.303 1.000
ML19 ML21 5.805 1.000
ML19 ML37 0.940 1.000
ML31 ML39 2.003 1.000
ML07 ML38 -3.376 1.000
ML28 ML29 -2.893 1.000
ML30 ML31 5.058 1.000
ML17 ML30 -7.784 1.000
ML09 ML38 -9.359 1.000
ML06 ML20 -1.866 1.000
ML18 ML29 -3.009 1.000
ML07 ML37 -3.044 1.000
ML08 ML30 -7.932 1.000
ML28 ML31 1.648 1.000
ML19 ML29 -1.429 1.000
ML30 ML37 3.072 1.000
ML38 ML39 4.277 1.000
ML06 ML28 -2.477 1.000
ML07 ML18 -2.570 1.000
ML06 ML09 6.193 1.000
ML06 ML38 -3.062 1.000
