39.829 143.417 20.000 REF
0.000 0.000 0.000 999.000
ML07 ML17 5.009 1.000
ML30 ML38 5.183 1.000
ML17 ML39 -0.625 1.000
ML18 ML19 -2.951 1.000
ML09 ML18 -6.167 1.000
ML29 ML31 2.020 1.000
ML08 ML09 4.671 1.000
ML21 ML37 0.391 1.000
ML09 ML39 -1.852 1.000
ML07 ML20 -1.770 1.000
ML06 ML18 -0.710 1.000
ML21 ML38 -0.700 1.000
ML08 ML18 -1.496 1.000
ML07 ML21 2.357 1.000
ML19 ML29 1.509 1.000
ML09 ML31 -5.589 1.000
ML37 ML38 -1.092 1.000
ML18 ML31 0.578 1.000
ML31 ML39 3.737 1.000
ML19 ML20 1.111 1.000
ML09 ML37 -3.488 1.000
ML20 ML31 2.417 1.000
ML09 ML29 -7.609 1.000
ML19 ML28 4.667 1.000
ML28 ML29 -3.158 1.000
ML06 ML17 4.231 1.000
ML18 ML28 1.716 1.000
ML38 ML39 2.728 1.000
ML31 ML37 2.101 1.000
ML07 ML39 4.385 1.000
ML21 ML31 -1.710 1.000
ML08 ML39 2.819 1.000
ML17 ML38 -3.353 1.000
ML19 ML21 5.238 1.000
ML07 ML19 -2.881 1.000
ML21 ML39 2.028 1.000
ML09 ML28 -4.451 1.000
ML31 ML38 1.009 1.000
ML19 ML30 -0.645 1.000
ML07 ML38 1.657 1.000
ML19 ML37 5.629 1.000
ML20 ML37 4.518 1.000
ML06 ML07 -0.779 1.000
