39.672 142.705 13.149 SYN
0.000 0.000 0.000 2.564
ST04 CA00 -8.613 1.000
ST06 ST07 5.692 1.000
ST05 ST11 6.529 1.000
ST01 ST09 -8.423 1.000
ST07 ST09 -6.191 1.000
ST02 ST03 4.582 1.000
ST07 CA00 -9.453 1.000
ST02 CA00 -3.444 1.000
ST08 ST09 7.338 1.000
ST04 ST12 -1.735 1.000
ST05 ST12 11.125 1.000
ST05 ST06 8.078 1.000
ST05 ST10 16.646 1.000
ST03 ST05 -12.271 1.000
ST07 ST12 -2.658 1.000
ST03 ST08 -12.049 1.000
ST12 CA00 -6.470 1.000
ST11 CA00 -2.297 1.000
ST10 ST12 -5.307 1.000
ST03 ST07 1.599 1.000
ST06 ST10 8.328 1.000
ST08 ST10 16.340 1.000
