39.807 142.544 12.576 SYN
0.000 0.000 0.000 1.130
ST02 ST12 0.937 1.000
ST04 ST12 -8.494 1.000
ST01 ST09 -15.792 1.000
ST09 ST11 6.957 1.000
ST04 ST05 -14.292 1.000
ST06 ST09 1.843 1.000
ST01 ST08 -13.794 1.000
ST02 ST03 -1.664 1.000
ST03 ST07 12.652 1.000
ST07 ST09 -15.788 1.000
ST09 CA00 1.219 1.000
ST07 CA00 -14.649 1.000
ST02 ST07 10.980 1.000
ST07 ST10 2.571 1.000
ST11 CA00 -5.392 1.000
ST06 CA00 3.133 1.000
ST04 ST09 -14.301 1.000
ST01 ST05 -15.728 1.000
ST03 ST10 14.969 1.000
ST01 ST11 -9.006 1.000
ST01 ST10 2.122 1.000
ST01 ST06 -17.697 1.000
ST07 ST11 -8.785 1.000
ST02 ST11 2.303 1.000
ST04 ST06 -16.048 1.000
ST09 ST12 5.645 1.000
ST02 ST08 -2.689 1.000
ST08 ST09 -2.244 1.000
ST02 ST04 9.502 1.000
ST05 ST12 5.729 1.000
