39.599 142.598 15.701 DE
0.267 0.243 0.029 0.112
ST06 ST07 8.109 8.088
ST04 ST10 6.028 69.704
ST02 ST04 8.427 18.327
ST07 ST08 -13.922 14.898
ST02 ST05 -7.369 10.072
ST05 ST06 9.618 24.765
ST01 ST10 3.571 1046.957
ST11 CA00 -7.408 8.101
ST01 ST05 -18.219 374.518
ST04 ST12 0.001 3.801
ST01 ST06 -8.750 5.356
ST03 ST11 -2.372 24.881
ST10 ST12 -5.860 12.231
ST06 ST08 -6.143 7.182
ST01 ST02 -11.101 6.709
ST06 ST11 1.455 30.649
ST02 ST06 2.206 5.474
ST08 ST10 18.272 7.519
ST01 ST07 -0.475 9.715
ST03 ST06 -3.994 4.170
ST03 ST04 2.363 41.183
ST05 ST12 16.022 151.103
ST03 ST10 8.372 110.320
