39.599 142.700 15.145 DE
0.246 0.236 0.029 0.106
ST04 CA00 -10.279 12.928
ST06 ST07 6.810 9.858
ST05 ST11 7.326 11.801
ST01 ST09 -10.014 26.158
ST07 ST09 -7.370 13.171
ST02 ST03 5.438 20.565
ST07 CA00 -11.036 9.999
ST02 CA00 -3.806 24.021
ST08 ST09 8.112 22.234
ST04 ST12 -2.070 16.881
ST05 ST12 12.831 35.346
ST05 ST06 8.918 25.170
ST05 ST10 19.100 8.582
ST03 ST05 -13.863 47.529
ST07 ST12 -2.911 21.090
ST03 ST08 -13.637 17.196
ST12 CA00 -7.801 3.684
ST11 CA00 -2.719 4.807
ST10 ST12 -6.056 8.015
ST03 ST07 1.964 5.502
ST06 ST10 9.942 11.941
ST08 ST10 18.790 8.951
