39.599 143.804 14.944 DE
0.274 0.233 0.034 0.102
ST05 ST10 -6.707 7.627
ST07 ST09 -4.770 8.767
ST01 ST04 -0.762 28.725
ST01 ST07 -299.350 7.007
ST03 CA00 -0.978 17.284
ST10 ST11 -10.806 13.348
ST11 CA00 315.596 7.193
ST05 CA00 298.233 14.888
ST01 ST10 -305.640 7.846
ST09 ST12 -7.352 8.733
ST05 ST08 -8.371 50.415
ST02 ST12 -311.856 176.328
ST06 ST09 -8.606 6.419
ST06 ST11 -21.061 6.806
ST07 CA00 298.723 41.128
ST04 ST09 -303.312 19.172
ST02 ST04 -1.035 4.444
ST06 ST07 -3.827 19.715
ST04 ST07 -298.494 71.942
ST12 CA00 310.913 10.780
ST03 ST06 -295.793 15.669
ST04 ST05 -297.980 30.532
