39.802 142.499 15.864 DE
0.255 0.237 0.034 0.070
ST01 ST11 -7.839 11.182
ST06 ST11 12.712 10.833
ST04 CA00 -17.228 95.005
ST02 ST05 -3.717 16.125
ST06 CA00 2.166 10.753
ST05 ST07 19.702 11.333
ST07 CA00 -19.728 14.153
ST01 ST08 -14.047 84.217
ST01 ST09 -16.528 23.064
ST03 ST04 15.787 9.429
ST06 ST09 4.133 15.683
ST02 ST10 19.886 35.479
ST04 ST11 -6.551 8.253
ST07 ST08 -15.459 26.552
ST10 ST11 -13.074 15.889
ST05 ST12 9.227 54.397
ST04 ST05 -17.278 9.606
ST01 CA00 -18.210 11.781
ST07 ST12 -10.292 13.092
ST07 ST10 3.938 25.663
ST02 ST07 15.940 53.244
