39.897 142.402 14.870 DE
0.263 0.181 0.028 0.088
ST10 CA00 -320.281 6.617
ST08 ST12 2.693 11.656
ST04 CA00 -18.654 9.751
ST02 ST11 9.325 7.472
ST06 ST11 18.338 15.011
ST06 ST09 6.818 5.228
ST02 ST05 -1.715 27.390
ST03 CA00 4.409 14.441
ST03 ST07 26.209 6.904
ST05 ST11 11.001 17.144
ST11 ST12 -3.602 10.273
ST10 ST12 -311.418 20.720
ST02 ST09 -2.639 19.127
ST01 ST12 -10.135 8.570
ST03 ST08 10.675 42.701
ST04 ST09 -18.072 123.445
ST12 CA00 -8.969 319.909
ST06 ST07 27.750 10.926
ST06 CA00 6.075 7.096
