39.600 142.497 15.251 DE
0.306 0.219 0.137 0.166
ST02 ST12 13.103 2.696
ST05 CA00 1.786 13.036
ST10 CA00 -22.221 4.842
ST01 ST07 1.615 4.400
ST03 ST10 11.650 8.817
ST02 ST05 -5.242 8.014
ST01 ST11 -3.459 2.790
ST03 ST11 1.781 4.216
ST07 ST09 -6.644 4.309
ST07 CA00 -17.371 6.936
ST04 ST12 2.255 5.048
ST09 ST10 11.655 114.767
ST08 ST10 17.436 4.123
ST03 ST08 -6.094 20.855
ST07 ST12 -0.748 11.196
ST02 ST10 18.451 10.634
ST08 CA00 -4.649 3.194
ST06 ST09 2.528 7.356
ST04 ST11 -2.257 18.535
ST07 ST10 4.894 9.401
ST02 ST08 0.846 5.968
ST02 CA00 -3.738 12.420
ST05 ST09 12.402 2.924
ST03 ST06 -2.425 10.617
ST03 ST12 6.118 4.846
ST01 ST05 -17.479 14.411
ST01 ST03 -5.297 15.570
ST05 ST07 18.963 37.189
