39.600 143.703 14.724 DE
0.217 0.237 0.031 0.093
ST05 ST07 0.148 25.663
ST01 ST12 -313.251 8.559
ST05 ST08 -8.423 18.925
ST02 CA00 -1.043 639.686
ST06 ST11 -20.837 5.916
ST05 ST06 3.512 30.230
ST09 ST10 -0.591 11.212
ST08 ST12 -3.445 8.755
ST02 ST06 -298.504 12.856
ST07 ST11 -17.423 6.803
ST01 ST02 0.485 20.905
ST05 CA00 300.791 7.201
ST08 ST09 3.288 32.024
ST03 ST12 -313.972 13.002
ST01 ST11 -318.691 4.798
ST01 ST03 0.624 10.336
ST03 ST08 -310.318 55.936
ST09 CA00 306.092 8.992
ST01 ST04 -0.773 21.828
ST05 ST11 -17.494 30.268
ST06 ST09 -8.645 20.414
