39.899 142.601 14.609 DE
0.269 0.249 0.024 0.106
ST05 ST09 -5.096 7.053
ST08 ST12 0.556 8.425
ST05 ST08 2.009 12.247
ST02 ST10 17.323 7.950
ST03 ST09 -3.815 6.833
ST01 ST04 -1.660 32.551
ST02 ST08 -2.363 6.128
ST03 ST08 3.153 4.671
ST07 ST08 -16.906 8.315
ST01 ST07 -0.144 16.300
ST03 ST11 8.389 7.354
ST06 ST08 10.090 24.543
ST03 ST05 1.358 12.259
ST08 ST09 -7.446 8.506
ST08 ST11 4.867 52.818
ST07 ST09 -24.230 8.634
ST04 ST07 1.444 24.171
ST08 ST10 19.779 17.984
ST06 ST12 10.542 18.038
ST06 ST07 26.761 13.514
ST04 ST06 -25.334 64.000
ST01 CA00 -18.378 10.152
ST12 CA00 -1.842 8.599
ST11 CA00 -6.073 9.868
