39.700 142.501 15.382 DE
0.284 0.210 0.030 0.117
ST01 ST03 -11.022 4.993
ST05 ST06 3.946 102.644
ST09 ST10 16.662 9.348
ST07 ST12 -5.561 7.830
ST01 ST07 1.478 10.921
ST06 ST12 9.963 10.264
ST05 ST12 14.010 4.804
ST04 ST11 -4.711 41.424
ST02 CA00 -3.767 32.501
ST08 ST10 18.713 34.867
ST04 ST10 6.735 4.291
ST08 ST09 1.723 4.005
ST07 ST10 4.604 3.508
ST10 CA00 -23.113 11.978
ST05 ST11 12.155 2283.570
ST01 ST06 -14.065 9.723
ST11 CA00 -11.567 39.383
ST01 ST02 -13.590 9.673
ST03 ST04 9.983 42.759
ST11 ST12 1.541 9.411
ST03 ST06 -2.834 8.965
ST01 ST09 -11.109 22.047
ST08 CA00 -4.540 11.738
ST05 ST10 23.912 9.751
ST09 ST11 5.143 34.600
ST02 ST05 -4.360 19.715
ST06 ST10 19.908 28.724
ST04 CA00 -16.259 32.752
ST04 ST09 -9.662 7.196
ST03 ST09 0.069 11.154
