39.700 142.599 15.305 DE
0.275 0.211 0.025 0.072
ST07 ST08 -15.541 15.503
ST01 ST05 -18.861 50.878
ST07 CA00 -16.284 9.418
ST03 ST09 -3.094 47.554
ST02 CA00 -4.110 5.432
ST01 ST11 -9.378 8.453
ST04 ST11 -7.146 39.644
ST05 ST11 9.528 10.757
ST07 ST09 -13.293 7.662
ST10 ST12 -10.798 9.415
ST05 ST07 18.463 205.441
ST02 ST03 2.215 19.007
ST01 ST07 -0.415 451.919
ST06 ST12 7.652 10.431
ST08 ST11 6.631 710.202
ST02 ST05 -6.227 90.595
ST03 CA00 -6.146 17.332
ST10 CA00 -19.925 12.442
ST06 ST08 -0.826 14.413
ST09 ST11 4.292 42.403
ST05 ST12 11.422 47.882
ST02 ST06 -2.236 10.729
ST06 ST07 14.489 10.856
