39.800 142.400 15.087 DE
0.287 0.195 0.026 0.110
ST02 ST12 9.447 18.970
ST04 ST12 -5.551 18.960
ST02 ST10 22.823 54.382
ST03 ST04 17.981 3.969
ST01 ST09 -13.535 6.453
ST05 ST07 20.032 6.963
ST04 ST07 3.279 22.254
ST02 ST03 -2.411 4.661
ST06 ST07 22.212 104.826
ST06 ST08 7.740 16.395
ST01 ST07 3.120 7.184
ST06 CA00 0.637 7.541
ST07 ST12 -8.777 16.446
ST10 CA00 -26.248 15.682
ST03 ST05 0.648 7.170
ST02 ST08 3.633 6.173
ST01 ST02 -15.302 18.276
ST08 ST11 6.921 6.672
ST11 ST12 -1.086 50.999
ST02 ST07 18.329 117.344
ST01 ST04 -0.309 17.940
ST05 CA00 -1.576 29.007
ST10 ST11 -12.435 5.089
ST05 ST10 24.692 20.287
ST02 ST05 -1.800 26.249
ST01 ST05 -17.198 313.704
ST09 CA00 -5.070 42.335
ST05 ST12 11.245 10.774
ST04 CA00 -18.520 27.085
ST05 ST09 3.686 5.520
