39.501 143.800 14.941 DE
0.292 0.233 0.029 0.096
ST09 CA00 301.643 4.441
ST06 CA00 -0.777 179.750
ST08 CA00 306.890 53.190
ST05 ST12 -10.133 193.488
ST02 ST04 -1.262 505.697
ST02 ST05 -299.488 29.491
ST01 ST07 -301.365 19.624
ST01 ST04 -0.783 17.917
ST09 ST10 -5.895 6.848
ST09 ST12 -6.539 6.961
ST07 ST12 -7.705 24.763
ST01 ST12 -309.182 8.158
ST07 ST08 -6.140 13.470
ST05 ST08 -8.303 6.429
ST10 ST11 -8.433 8.099
ST08 ST09 4.993 99.702
ST01 ST03 0.468 16.876
ST06 ST07 -301.581 242.530
ST05 CA00 298.172 4.155
ST03 ST05 -299.506 17.395
ST01 ST06 0.249 72.279
ST02 ST09 -302.799 9.041
ST02 ST08 -307.893 50.927
ST04 CA00 0.303 11.846
ST06 ST10 -308.434 22.016
ST10 CA00 307.534 12.028
ST01 ST02 0.432 9.917
