39.499 143.803 15.388 DE
0.000 0.000 0.000 0.436
ST09 CA00 6.021 1.189
ST06 CA00 0.801 53.770
ST08 CA00 11.152 3.775
ST05 ST12 -7.981 4.357
ST02 ST04 -4.264 41.127
ST02 ST05 -7.678 3.339
ST01 ST07 -11.084 3.764
ST01 ST04 -6.348 3.552
ST09 ST10 -4.866 2.043
ST09 ST12 -4.784 1.613
ST07 ST12 -6.304 6.042
ST01 ST12 -17.947 1.010
ST07 ST08 -5.285 1.904
ST05 ST08 -5.637 1.359
ST10 ST11 -6.936 2.071
ST08 ST09 3.863 6.161
ST01 ST03 0.244 3.398
ST06 ST07 -5.338 32.949
ST05 CA00 3.443 0.934
ST03 ST05 -10.156 2.425
ST01 ST06 -5.583 13.826
ST02 ST09 -9.461 3.773
ST02 ST08 -13.826 13.399
ST04 CA00 1.810 2.301
ST06 ST10 -10.683 3.784
ST10 CA00 10.870 2.715
ST01 ST02 -2.324 2.011
