39.799 142.502 15.343 DE
0.000 0.000 0.000 0.312
ST01 ST11 -6.872 2.995
ST06 ST11 10.457 3.507
ST04 CA00 -14.157 19.402
ST02 ST05 -3.365 65.298
ST06 CA00 1.699 4.226
ST05 ST07 16.442 5.348
ST07 CA00 -16.557 3.390
ST01 ST08 -11.519 3.299
ST01 ST09 -13.939 3.938
ST03 ST04 12.695 11.197
ST06 ST09 3.944 2.866
ST02 ST10 15.949 4.806
ST04 ST11 -4.748 1.529
ST07 ST08 -12.792 19.082
ST10 ST11 -10.629 3.255
ST05 ST12 7.169 1.650
ST04 ST05 -14.419 4.598
ST01 CA00 -14.751 1.685
ST07 ST12 -8.354 7.933
ST07 ST10 3.061 5.134
ST02 ST07 12.851 42.182
