39.794 142.601 14.404 DE
0.000 0.000 0.000 0.506
ST02 ST12 0.814 17.309
ST04 ST12 -8.470 63.154
ST01 ST09 -14.985 1.036
ST09 ST11 6.847 12.468
ST04 ST05 -14.839 1.518
ST06 ST09 2.050 3.490
ST01 ST08 -13.738 4.087
ST02 ST03 -1.443 16.098
ST03 ST07 12.651 2.747
ST07 ST09 -15.881 3.956
ST09 CA00 0.821 1.993
ST07 CA00 -15.460 0.866
ST02 ST07 11.165 2.610
ST07 ST10 3.162 1.316
ST11 CA00 -4.294 0.870
ST06 CA00 3.222 7.368
ST04 ST09 -14.312 9.256
ST01 ST05 -15.236 1.448
ST03 ST10 14.543 6.855
ST01 ST11 -8.993 5.246
ST01 ST10 1.832 4.037
ST01 ST06 -17.344 2.703
ST07 ST11 -8.806 18.051
ST02 ST11 2.898 1.023
ST04 ST06 -15.880 11.433
ST09 ST12 5.030 1.453
ST02 ST08 -2.867 86.196
ST08 ST09 -2.473 1.979
ST02 ST04 9.640 3.541
ST05 ST12 6.025 3.024
