39.702 142.587 14.954 DE
0.000 0.000 0.000 0.351
ST07 ST08 -13.385 3.291
ST01 ST05 -15.975 4.328
ST07 CA00 -14.383 5.816
ST03 ST09 -2.574 3.098
ST02 CA00 -4.455 1.137
ST01 ST11 -8.336 1.268
ST04 ST11 -5.891 3.990
ST05 ST11 7.863 1.257
ST07 ST09 -11.649 1.860
ST10 ST12 -9.454 1.902
ST05 ST07 15.768 3.386
ST02 ST03 2.059 3.522
ST01 ST07 -0.292 6.699
ST06 ST12 6.761 5.570
ST08 ST11 5.608 14.638
ST02 ST05 -5.529 9.906
ST03 CA00 -5.615 3.786
ST10 CA00 -17.155 34.335
ST06 ST08 -0.412 13.441
ST09 ST11 3.415 3.429
ST05 ST12 9.666 2.604
ST02 ST06 -1.514 2.245
ST06 ST07 11.840 1.325
