39.602 142.606 15.632 DE
0.000 0.000 0.000 0.440
ST06 ST07 6.926 7.590
ST04 ST10 5.384 4.226
ST02 ST04 6.515 2.889
ST07 ST08 -11.293 1.045
ST02 ST05 -6.953 41.856
ST05 ST06 8.617 12.288
ST01 ST10 3.204 2.447
ST11 CA00 -6.015 7.757
ST01 ST05 -15.481 1.512
ST04 ST12 -0.639 1.899
ST01 ST06 -7.610 6.024
ST03 ST11 -2.267 7.945
ST10 ST12 -5.190 14.317
ST06 ST08 -6.016 1.784
ST01 ST02 -9.783 1.755
ST06 ST11 1.111 5.228
ST02 ST06 1.449 3.122
ST08 ST10 15.871 5.677
ST01 ST07 0.142 1.263
ST03 ST06 -4.216 1.107
ST03 ST04 1.536 4.111
ST05 ST12 13.954 3.620
ST03 ST10 6.826 9.933
