39.592 143.770 13.244 DE
0.000 0.000 0.000 0.511
ST05 ST10 -4.355 2.113
ST07 ST09 -2.815 1.842
ST01 ST04 -6.039 5.419
ST01 ST07 -10.847 1.803
ST03 CA00 -4.091 2.577
ST10 ST11 -9.402 18.418
ST11 CA00 17.378 0.838
ST05 CA00 4.372 41.847
ST01 ST10 -15.358 2.084
ST09 ST12 -6.747 1.661
ST05 ST08 -6.250 3.882
ST02 ST12 -16.947 6.656
ST06 ST09 -5.569 1.422
ST06 ST11 -17.316 2.135
ST07 CA00 4.577 16.255
ST04 ST09 -7.391 2.470
ST02 ST04 -2.023 0.882
ST06 ST07 -2.710 4.892
ST04 ST07 -4.339 10.104
ST12 CA00 14.477 2.980
ST03 ST06 -5.551 1.533
ST04 ST05 -4.012 5.454
