39.795 142.406 14.006 DE
0.000 0.000 0.000 0.534
ST02 ST12 7.455 4.559
ST04 ST12 -4.228 3.744
ST02 ST10 18.232 5.350
ST03 ST04 15.791 0.667
ST01 ST09 -10.565 1.248
ST05 ST07 15.829 1.235
ST04 ST07 2.873 3.786
ST02 ST03 -1.246 1.140
ST06 ST07 18.278 11.152
ST06 ST08 6.790 2.702
ST01 ST07 2.822 1.273
ST06 CA00 1.032 1.386
ST07 ST12 -6.836 3.732
ST10 CA00 -21.558 4.276
ST03 ST05 -0.070 3.008
ST02 ST08 2.205 1.599
ST01 ST02 -12.458 3.525
ST08 ST11 6.372 1.371
ST11 ST12 -1.017 4.582
ST02 ST07 14.813 28.817
ST01 ST04 -0.798 4.429
ST05 CA00 -1.581 6.159
ST10 ST11 -10.482 1.099
ST05 ST10 20.076 5.865
ST02 ST05 -1.502 2.790
ST01 ST05 -14.440 6.171
ST09 CA00 -4.604 19.953
ST05 ST12 8.946 1.699
ST04 CA00 -15.493 22.463
ST05 ST09 3.985 1.334
