39.699 142.502 17.533 DE
0.000 0.000 0.000 0.556
ST01 ST03 -8.301 1.230
ST05 ST06 3.609 10.205
ST09 ST10 13.047 6.442
ST07 ST12 -4.387 5.287
ST01 ST07 1.457 2.188
ST06 ST12 8.400 3.072
ST05 ST12 12.510 1.373
ST04 ST11 -4.119 2.649
ST02 CA00 -3.331 6.745
ST08 ST10 15.284 6.673
ST04 ST10 4.384 0.957
ST08 ST09 0.597 0.749
ST07 ST10 4.619 0.701
ST10 CA00 -18.631 2.581
ST05 ST11 10.146 4.264
ST01 ST06 -11.419 4.316
ST11 CA00 -9.629 4.564
ST01 ST02 -10.851 2.020
ST03 ST04 8.063 5.422
ST11 ST12 0.799 1.661
ST03 ST06 -2.076 2.172
ST01 ST09 -9.617 1.645
ST08 CA00 -4.049 6.071
ST05 ST10 20.202 1.536
ST09 ST11 4.180 6.751
ST02 ST05 -3.872 7.158
ST06 ST10 16.305 2.169
ST04 CA00 -13.654 15.517
ST04 ST09 -7.338 2.297
ST03 ST09 -0.533 1.567
