39.888 142.598 13.753 DE
0.000 0.000 0.000 0.494
ST05 ST09 -3.909 2.119
ST08 ST12 1.013 3.221
ST05 ST08 1.201 1.881
ST02 ST10 13.857 2.758
ST03 ST09 -3.194 1.876
ST01 ST04 -1.451 9.621
ST02 ST08 -1.744 1.739
ST03 ST08 1.235 0.869
ST07 ST08 -14.230 1.561
ST01 ST07 0.048 5.375
ST03 ST11 7.068 1.919
ST06 ST08 8.999 10.357
ST03 ST05 1.107 2.206
ST08 ST09 -6.816 1.423
ST08 ST11 3.985 5.693
ST07 ST09 -20.438 1.360
ST04 ST07 1.139 3.599
ST08 ST10 16.068 3.927
ST06 ST12 9.492 8.852
ST06 ST07 22.050 2.263
ST04 ST06 -21.001 13.514
ST01 CA00 -15.256 2.267
ST12 CA00 -1.873 12.025
ST11 CA00 -4.450 1.253
