39.600 142.700 14.420 DE
0.000 0.000 0.000 0.484
ST04 CA00 -8.772 5.750
ST06 ST07 5.844 4.962
ST05 ST11 6.786 71.870
ST01 ST09 -8.378 36.077
ST07 ST09 -6.261 7.549
ST02 ST03 4.862 3.177
ST07 CA00 -9.691 4.012
ST02 CA00 -3.587 5.561
ST08 ST09 7.648 6.015
ST04 ST12 -1.328 2.359
ST05 ST12 11.258 5.752
ST05 ST06 8.010 2.667
ST05 ST10 16.953 11.821
ST03 ST05 -12.253 3.484
ST07 ST12 -2.664 14.619
ST03 ST08 -12.402 3.583
ST12 CA00 -5.403 0.693
ST11 CA00 -3.044 1.205
ST10 ST12 -4.631 1.241
ST03 ST07 2.100 1.632
ST06 ST10 7.745 1.354
ST08 ST10 16.685 4.278
