39.603 143.749 11.056 DE
0.000 0.000 0.000 0.434
ST05 ST07 0.251 3.483
ST01 ST12 -19.620 1.688
ST05 ST08 -6.903 3.448
ST02 CA00 -2.972 191.572
ST06 ST11 -16.170 1.578
ST05 ST06 2.519 30.222
ST09 ST10 -0.248 2.046
ST08 ST12 -2.516 1.089
ST02 ST06 -5.279 2.056
ST07 ST11 -13.653 1.777
ST01 ST02 -3.143 3.101
ST05 CA00 3.912 2.146
ST08 ST09 2.790 17.699
ST03 ST12 -19.202 2.590
ST01 ST11 -23.766 1.536
ST01 ST03 -0.902 2.023
ST03 ST08 -15.637 3.920
ST09 CA00 8.853 1.679
ST01 ST04 -5.996 5.637
ST05 ST11 -14.497 4.078
ST06 ST09 -6.616 5.422
